gare_key,nom_so_gar,latitude,longitude
aeroport d'orly,Aéroport d'Orly,48.72955072266279,2.3682641286195816
viroflay rive droite,Viroflay Rive Droite,48.8057041548583,2.169070049430457
boulogne jean jaures,Boulogne - Jean Jaurès,48.842005347289565,2.238887327153073
bolivar,Bolivar,48.880667463456206,2.374495966260425
anatole france,Anatole France,48.89208278596666,2.2850095013824143
arts et metiers,Arts et Métiers,48.86558647849898,2.356736756794993
barbes rochechouart,Barbès-Rochechouart,48.88380394240113,2.3506129993253224
bastille,Bastille,48.85343942756841,2.3695135681565254
bel air,Bel-Air,48.84133824913213,2.4009185367798027
berault,Bérault,48.845470707583566,2.4292051663480003
creteil prefecture,Créteil–Préfecture,48.78000282890859,2.4593631290764044
daumesnil,Daumesnil,48.83944542837951,2.3961828864526327
cardinal lemoine,Cardinal Lemoine,48.84665685124266,2.3516232550160123
chatelet,Châtelet,48.85763141070005,2.3480365654004016
cite,Cité,48.85493637835866,2.3473213170674265
concorde,Concorde,48.86628580458389,2.322943412243541
glaciere,Glacière,48.831129548026645,2.3435116577497763
jourdain,Jourdain,48.87511181695599,2.389415032035528
jules joffrin,Jules Joffrin,48.89241892294572,2.3447646117383565
maraichers,Maraîchers,48.85272512017012,2.406089161868773
marcadet poissonniers,Marcadet-Poissonniers,48.89143955488239,2.349627158227453
michel bizot,Michel Bizot,48.83711700698872,2.402333164555185
la motte picquet grenelle,La Motte Picquet-Grenelle,48.848741665717824,2.2989309117480614
le kremlin bicetre,Le Kremlin-Bicêtre,48.81012995727394,2.362263387127349
ledru rollin,Ledru Rollin,48.85152370843435,2.3751010337556164
madeleine,Madeleine,48.87023324339993,2.325163546827897
ourcq,Ourcq,48.88685693150188,2.385913174273276
palais royal musee du louvre,Palais Royal - Musée du Louvre,48.86234803084025,2.336496460942477
palais royal musee du louvre,Palais Royal - Musée du Louvre,48.86282967190577,2.3368784003342
pernety,Pernety,48.83422588267789,2.318616414425384
picpus,Picpus,48.84506157994489,2.4012890198273484
pierre et marie curie,Pierre et Marie Curie,48.81593076305632,2.37726720151374
place d'italie,Place d'Italie,48.8309272410005,2.356121938797104
notre dame des champs,Notre-Dame-des-Champs,48.84494263342596,2.32877802689008
oberkampf,Oberkampf,48.86496414577929,2.3679014148417363
oberkampf,Oberkampf,48.8650190090373,2.368011378256503
odeon,Odéon,48.85230076309424,2.3397277815930964
pont marie,Pont Marie,48.85357547250359,2.357162571618337
saint philippe du roule,Saint-Philippe du Roule,48.87204586272729,2.3100189324082736
richard lenoir,Richard Lenoir,48.85987362347133,2.371913980100837
ranelagh,Ranelagh,48.855485050404425,2.2701091389418937
raspail,Raspail,48.83896428071056,2.330754192086216
reaumur sebastopol,Réaumur Sébastopol,48.86673355595668,2.352829461254394
reuilly diderot,Reuilly-Diderot,48.84712872224063,2.387025242098632
saint germain des pres,Saint-Germain-des-Prés,48.853718934000206,2.333776138218468
rue saint maur,Rue Saint-Maur,48.864285758645295,2.379741893177554
porte de versailles,Porte de Versailles,48.832676871877865,2.288069457597242
saint lazare,Saint-Lazare,48.87515128791023,2.324380555428912
gare de l'est,Gare de l'Est,48.8759910648072,2.357880771925327
montparnasse bienvenue,Montparnasse-Bienvenüe,48.842102207208605,2.321278562744628
funiculaire montmartre station haute,Funiculaire Montmartre Station Haute,48.88566111270151,2.3425496532584886
pont de neuilly,Pont de Neuilly,48.88470820133096,2.260515079251701
duroc,Duroc,48.84698910613954,2.3170052357372453
fort d'aubervilliers,Fort d'Aubervilliers,48.91494975727623,2.4044090887818643
malesherbes,Malesherbes,48.88289191745414,2.309052264550479
porte dauphine,Porte Dauphine,48.87146657813589,2.2770830184157247
porte de la villette,Porte de la Villette,48.89738989158187,2.385508387668673
trinite d'estienne d'orves,Trinité d'Estienne d'Orves,48.87633026495961,2.333108893760544
tuileries,Tuileries,48.86434377873392,2.330129877112862
porte d'ivry,Porte d'Ivry,48.82182955806905,2.370053603529677
villejuif louis aragon,Villejuif-Louis Aragon,48.78728035004914,2.366988444947912
saint denis porte de paris,Saint-Denis - Porte de Paris,48.92981642738063,2.3572920708824574
porte de la chapelle,Porte de la Chapelle,48.89839212567743,2.358375469325785
bibliotheque francois mitterrand,Bibliothèque François Mitterrand,48.82999019989919,2.375747983215603
gare d'austerlitz,Gare d'Austerlitz,48.842436797924776,2.365184811993381
georges brassens,Georges Brassens,48.82982637901668,2.2956619828222946
didot,Didot,48.82592054697146,2.313380087366044
hotel de ville de bobigny,Hôtel de Ville de Bobigny,48.90653655905889,2.443992334554138
l'abbaye,L'Abbaye,48.92180470451735,2.516333391307286
pont de bondy,Pont de Bondy,48.90470320378033,2.4699715449785766
suresnes longchamp,Suresnes-Longchamp,48.86823878484656,2.221410602618016
villetaneuse universite,Villetaneuse-Université,48.95931814416915,2.3420538013870744
le village,Le Village,48.93335538222905,2.294602989386074
faubourg de l'arche,Faubourg de l'Arche,48.89666439721808,2.2400792520382726
parc pierre lagravere,Parc Pierre Lagravère,48.9175149075793,2.224812188878315
baron le roy,Baron Le Roy,48.83038859059281,2.393449698306368
porte d'aubervilliers,Porte d'Aubervilliers,48.89860117217837,2.3690369493169228
domaine cherioux,Domaine Chérioux,48.77893639308641,2.367405864497285
moulin vert,Moulin Vert,48.7720742166394,2.367815001629962
porte de thiais,Porte de Thiais,48.75957353526184,2.366398000043218
robert wagner,Robert Wagner,48.78512141332816,2.178798590270474
inovel parc nord,Inovel Parc Nord,48.78140432088545,2.209129227294876
mairie de velizy,Mairie de Vélizy,48.78045471153042,2.1914099192732954
paul eluard,Paul Éluard,48.93968870865854,2.345207505927952
clichy sous bois mairie,Clichy-sous-Bois Mairie,48.90786847959308,2.5463803994280108
trois communes,Trois communes,48.77298814363423,2.399359618612088
rouget de lisle,Rouget de Lisle,48.76391487107731,2.405808944037218
cimetiere de saint denis,Cimetière de Saint-Denis,48.936389147061696,2.3636407021979244
escadrille normandie niemen,Escadrille Normandie-Niémen,48.91270497529589,2.435420992985438
suzanne lenglen,Suzanne Lenglen,48.83331427148139,2.2768549764108004
petit pierrefitte,Petit Pierrefitte,48.952680187232,2.357983075325655
hotel de ville de la courneuve,Hôtel de Ville de La Courneuve,48.92740289165738,2.3924711193168307
maurice lachatre,Maurice Lachâtre,48.91917902772585,2.41383718095636
caroline aigle,Caroline Aigle,48.738603872058455,2.369907789255685
velizy 2,Vélizy 2,48.78496976326487,2.220009516856533
villetaneuse universite,Villetaneuse - Université,48.96000579243069,2.3423685974925013
pierrefitte stains,Pierrefitte Stains,48.96013454228842,2.3672565834726305
la briqueterie,La Briqueterie,48.80721433286051,2.374911599354834
bondy,Bondy,48.89395181173609,2.480205915260598
asnieres sur seine,Asnières-sur-Seine,48.90598139395308,2.283199280222817
ermont halte,Ermont-Halte,48.990313583902434,2.2632853539998323
pont sur yonne,Pont-sur-Yonne,48.28627700972752,3.2017673450549218
liancourt saint pierre,Liancourt-Saint-Pierre,49.22067083172213,1.9054853050824927
lavilletertre,Lavilletertre,49.20229110525427,1.9206110857457552
la ferte milon,La Ferté-Milon,49.17961925767545,3.1206923972407514
chateau landon,Château-Landon,48.87844430039445,2.3619653022299603
fontaine le port,Fontaine-le-Port,48.48737309459969,2.750483097368812
chaumont en vexin,Chaumont-en-Vexin,49.26119849697099,1.873097212586157
coulommiers,Coulommiers,48.80786914008054,3.081648526077241
breval,Bréval,48.94345963288564,1.5417749316626164
champbenoist poigny,Champbenoist-Poigny,48.545296265858845,3.286679528098301
la frette montigny,La Frette-Montigny,48.979887167643504,2.1803421469117485
chezy sur marne,Chézy-sur-Marne,48.991889160257294,3.364379893535808
epinay villetaneuse,Épinay Villetaneuse,48.95900165546215,2.3283518828743333
conflans fin d'oise,Conflans-Fin-d'Oise,48.99033259105296,2.073955308732424
conflans fin d'oise,Conflans-Fin-d'Oise,48.99033252838146,2.0739471888196928
laroche migennes,Laroche-Migennes,47.960888145584505,3.512888761289445
alexandre dumas,Alexandre Dumas,48.85622809125615,2.3946756547920462
buzenval,Buzenval,48.85197520932561,2.401927284511547
censier daubenton,Censier-Daubenton,48.84023383632875,2.3516064753021904
chateau rouge,Château Rouge,48.88671096804134,2.349559430194618
corentin cariou,Corentin Cariou,48.89465585833331,2.382160158371538
jaures,Jaurès,48.883193321300105,2.371933128614294
la motte picquet grenelle,La Motte Picquet-Grenelle,48.84957521390955,2.298625127144874
stalingrad,Stalingrad,48.88432566304799,2.3673720385654686
saint augustin,Saint-Augustin,48.87447567664767,2.322001788877926
billancourt,Billancourt,48.83173796437048,2.2374367869806067
charonne,Charonne,48.855094494476994,2.384699760132844
richelieu drouot,Richelieu-Drouot,48.87169298457071,2.338463081008744
bonne nouvelle,Bonne Nouvelle,48.87059047801112,2.348491131078989
esplanade de la defense,Esplanade de la Défense,48.88813847761218,2.249792769009765
adrienne bolland,Adrienne Bolland,48.872097029931695,2.40862005517699
dugny la courneuve,Dugny - La Courneuve,48.94393432566968,2.411121754896824
angelique compoint,Angélique Compoint,48.89783032629845,2.3382304271335834
coeur d'orly,Coeur d'Orly,48.7336993470907,2.371412538219709
epinettes pouchet,Épinettes - Pouchet,48.89754933179902,2.3249055851394216
bagneux lucie aubrac,Bagneux - Lucie Aubrac,48.80363023251622,2.3180536133374328
mairie d'aubervilliers,Mairie d'Aubervilliers,48.913710545549606,2.380735606395094
allee royale,Allée Royale,48.81564572892323,2.0788334686892225
saint nom la breteche foret de marly,Saint-Nom La Bretèche - Forêt de Marly,48.8679501427926,2.0508259503050965
malabry,Malabry,48.76932378942164,2.249652962862064
cite jardin,Cité-Jardin,48.76556476446966,2.259576114866507
lavallee,LaVallée,48.76142385263188,2.290444727862659
champlan,Champlan,48.70854821544341,2.280123756150529
gravigny balizy,Gravigny-Balizy,48.68571362596709,2.317626404411973
epinay sur orge,Épinay-sur-Orge,48.67063926645666,2.335359426259652
bois briard,Bois Briard,48.622133794575866,2.415448100577441
chaville rive droite,Chaville Rive Droite,48.81257171717767,2.188259860000294
porte maillot,Porte Maillot,48.87793268655634,2.282976188020842
esbly,Esbly,48.90307291510794,2.810248220730061
bouffemont moisselles,Bouffémont-Moisselles,49.045169460276206,2.3229178462271083
boissy saint leger,Boissy-Saint-Léger,48.75218572078873,2.504559838342837
crouy sur ourcq,Crouy-sur-Ourcq,49.09188299627487,3.0626904069870564
ablon,Ablon,48.7255353048612,2.4195650243879334
aeroport charles de gaulle 1,Aéroport Charles De Gaulle 1,49.009756452138376,2.5612326952251063
arcueil cachan,Arcueil-Cachan,48.79889250008068,2.328136923064751
aulnay sous bois,Aulnay-sous-Bois,48.93219600596196,2.495513142584314
bagneaux sur loing,Bagneaux-sur-Loing,48.22954993747097,2.7039360529619154
bellevue,Bellevue,48.81894780093774,2.2298080037295134
belloy saint martin,Belloy-Saint-Martin,49.09840026247686,2.3612705552410564
beynes,Beynes,48.859998730438754,1.875595590302068
le coudray montceaux,Le Coudray-Montceaux,48.56611782073621,2.492713002881577
crecy la chapelle,Crécy-la-Chapelle,48.8595573168744,2.9057369645485345
emerainville pontault combault,Émerainville-Pontault-Combault,48.80584078961123,2.619194412455653
epinay sur orge,Épinay-sur-Orge,48.66948372520816,2.3326229292104723
epluches,Épluches,49.05510176049029,2.1227359082735706
cergy prefecture,Cergy-Préfecture,49.036463980725365,2.079534939997373
cesson,Cesson,48.56494949567092,2.594551816007613
chanteloup les vignes,Chanteloup-les-Vignes,48.97036693394952,2.0275187756771844
chaville velizy,Chaville-Vélizy,48.79972882534397,2.183684109854236
choisy le roi,Choisy-le-Roi,48.76378680955172,2.411386724936104
clichy levallois,Clichy-Levallois,48.89763744791706,2.2974199481466626
gargenville,Gargenville,48.982979763205634,1.8089078287123903
groslay,Groslay,48.98431596206594,2.3534072458696844
val de fontenay,Fontenay-sous-Bois,48.84379435193279,2.463501419487552
frepillon,Frépillon,49.04543025423757,2.197087678318263
gagny,Gagny,48.88373428097724,2.5254342507658434
marne la vallee chessy,Marne-la-Vallée-Chessy,48.86995013493981,2.7822267234490368
guillerval,Guillerval,48.37452501337593,2.059912347637065
fontainebleau avon,Fontainebleau Avon,48.41637703300661,2.726661533081673
joinville le pont,Joinville-le-Pont,48.82103881506317,2.4638567953623163
juvisy,Juvisy,48.689764622382576,2.382846099452605
juziers,Juziers,48.9922412812868,1.845134443502388
la courneuve aubervilliers,La Courneuve-Aubervilliers,48.92435387966093,2.386388291064694
la croix de berny fresnes,La Croix-de-Berny-Fresnes,48.76169369040741,2.30422734755186
maisons laffitte,Maisons-Laffitte,48.94550297190666,2.1450174376542583
meudon val fleury,Meudon-Val-Fleury,48.80749262578013,2.240883069335648
mitry claye,Mitry-Claye,48.97585875402046,2.6424063023101896
la garenne colombes,La Garenne-Colombes,48.90963293312602,2.2396841171276165
laplace,Laplace,48.80829658863144,2.334354309639648
lardy,Lardy,48.52040359106998,2.254739702427517
le mee,Le Mée,48.538775256627815,2.6255221550663017
les saules,Les Saules,48.74507216689389,2.4175209778964915
les yvris noisy le grand,Les Yvris-Noisy-le-Grand,48.82315185583432,2.579837253911679
palaiseau,Palaiseau,48.71694628758515,2.245672514581906
pontoise,Pontoise,49.04664576264113,2.0951950672259687
pont petit,Pont-Petit,49.06115390082607,2.131538271631698
saint remy les chevreuse,Saint-Rémy-lès-Chevreuse,48.70275104207729,2.071242846320578
savigny sur orge,Savigny-sur-Orge,48.676446656997726,2.3524814010489976
sevres ville d'avray,Sèvres-Ville-d'Avray,48.82723877540951,2.200721257947835
presles courcelles,Presles-Courcelles,49.11406195154224,2.287915343526005
rambouillet,Rambouillet,48.64422195345786,1.8329354703489624
robinson,Robinson,48.78023729710839,2.281430595437462
saint cloud,Saint-Cloud,48.84610294864102,2.217621080890434
saint cyr,Saint-Cyr,48.79870763528835,2.0718470059294014
sainte colombe septveilles,Sainte-Colombe-Septveilles,48.529148966826575,3.255368150025012
saint maur creteil,Saint-Maur-Créteil,48.80620002476372,2.4727204038021715
villiers neauphle pontchartrain,Villiers-Neauphle Pontchartrain,48.81532862049073,1.8775042043136383
vosves,Vosves,48.515151454141154,2.5993042659192627
vauboyen,Vauboyen,48.75883616371208,2.193014615252485
villaines,Villaines,49.07927205498809,2.3505136376252613
villepinte,Villepinte,48.962709513300425,2.512644627819613
marchezais broue,Marchezais - Broué,48.76835208365703,1.513637244887038
montargis,Montargis,48.00660145772837,2.743192243197975
creil,Creil,49.26394414450534,2.4689141153510383
chatelet,Les Halles,48.86251523497548,2.345785860039181
antony,Antony,48.754946525531125,2.300986855734952
terminal 3 roissypole,Terminal 3 - Roissypole,49.01000186615113,2.5605588439018763
haussmann saint lazare,Haussmann-Saint-Lazare,48.8750292564036,2.3267224755800515
noisiel,Noisiel,48.84350923944823,2.616678624694602
musee d'orsay,Musée d'Orsay,48.86035143402621,2.3267597744418103
saint fargeau,Saint-Fargeau,48.56507294103619,2.542609449806005
villeneuve triage,Villeneuve-Triage,48.74450070215072,2.438668340778227
gare de l'est,Gare de l'Est,48.87737561987964,2.3594566169442075
gare de lyon,Gare de Lyon,48.84476017126674,2.373593653262281
la defense,La Défense,48.89218707644951,2.237018056395014
les baconnets,Les Baconnets,48.73968104253053,2.287667495463073
montgeroult courcelles,Montgeroult-Courcelles,49.08049370702577,2.003715373018928
vaux sur seine,Vaux-sur-Seine,49.00712724722576,1.963551770278396
versailles rive droite,Versailles Rive Droite,48.809482263917104,2.135087456598118
creteil pompadour,Créteil Pompadour,48.77126603812107,2.4353063397063224
havre caumartin,Havre-Caumartin,48.873513389595466,2.327543081726972
gare du nord,Gare du Nord,48.87979369411629,2.355791907531139
invalides,Invalides,48.86002845820203,2.3139151192031537
cite universitaire,Cité Universitaire,48.82035003419018,2.3385807496409954
gennevilliers,Gennevilliers,48.93344984077206,2.307089653527024
epinay sur seine,Épinay-sur-Seine,48.95456256277917,2.302305082030494
la defense,La Défense,48.8921233638325,2.237213536457713
rosa parks,Rosa Parks,48.897552809900425,2.3733837959986004
botzaris,Botzaris,48.87949310793359,2.3885668704791967
rue des boulets,Rue des Boulets,48.85216836965024,2.3896255399759547
boissiere,Boissière,48.86698310944948,2.290058833580487
avenue emile zola,Avenue Émile Zola,48.84699703133652,2.2950191304763616
bastille,Bastille,48.85343696230164,2.368736572626169
belleville,Belleville,48.87184879466127,2.3765936840968225
danube,Danube,48.88181610818685,2.394012398359364
dupleix,Dupleix,48.85043454901342,2.293612437187804
charles michels,Charles Michels,48.8465346367312,2.2859992220590075
vincennes,Château de Vincennes,48.84445639456913,2.440439978057246
chevaleret,Chevaleret,48.83494772325454,2.3681263304132094
hotel de ville,Hôtel de Ville,48.85747798252935,2.3515775629949967
iena,Iéna,48.8647940649002,2.29416201539428
jasmin,Jasmin,48.85250409151217,2.268176749423332
jussieu,Jussieu,48.84595066575015,2.355050264434754
malakoff rue etienne dolet,Malakoff - Rue Étienne Dolet,48.81530753120022,2.2970777969729843
marx dormoy,Marx Dormoy,48.89048545474661,2.359995766394621
michel ange molitor,Michel Ange-Molitor,48.84524756545478,2.261623492404886
michel ange molitor,Michel Ange-Molitor,48.84505817231375,2.261745124963672
mirabeau,Mirabeau,48.84713100819624,2.2727637533161595
miromesnil,Miromesnil,48.87376998959543,2.31445603617697
les sablons,Les Sablons,48.88101649749112,2.272238940611057
liege,Liège,48.87963476065682,2.3270222008895027
mairie de clichy,Mairie de Clichy,48.90323367878661,2.306010915009083
mairie de saint ouen,Mairie de Saint-Ouen,48.91196489788089,2.3339248904797145
mouton duvernet,Mouton-Duvernet,48.83111266037533,2.3297050126201846
odeon,Odéon,48.85193594203498,2.340613006406504
opera,Opéra,48.86993903518653,2.332592489355912
pont de sevres,Pont de Sèvres,48.829746119994304,2.231028100202621
segur,Ségur,48.84706613315245,2.3074022406196404
porte de vanves,Porte de Vanves,48.82779554349536,2.305534669653895
porte d'orleans,Porte d'Orléans,48.82341162898739,2.3255756362122453
rambuteau,Rambuteau,48.86120499033039,2.353495741491146
republique,République,48.86702678847436,2.364247995104706
republique,République,48.86782709972698,2.3637404371950392
rue de la pompe,Rue de la Pompe,48.86394013069539,2.2784416488331494
saint fargeau,Saint-Fargeau,48.87210144213156,2.4045149423791043
saint francois xavier,Saint-François-Xavier,48.85144170744032,2.314408121472487
saint georges,Saint-Georges,48.87817339105656,2.337857510381017
saint marcel,Saint-Marcel,48.83842729696758,2.360967167698855
vaneau,Vaneau,48.8488163733696,2.3212578628937472
varenne,Varenne,48.85687137924919,2.315056637317088
villejuif louis aragon,Villejuif - Louis Aragon,48.78756279294567,2.367804105603498
front populaire,Front Populaire,48.90656714598029,2.3659203194009595
porte de la chapelle,Porte de la Chapelle,48.89724528809305,2.359507868815593
saint sebastien froissart,Saint-Sébastien-Froissart,48.861168864595705,2.3672108677856154
gare de l'est,Gare de l'Est,48.8762727026041,2.3580579070747385
assemblee nationale,Assemblée Nationale,48.86078696352672,2.3209981919540845
gallieni,Gallieni,48.8653353181603,2.416697272847641
hoche,Hoche,48.891228593203465,2.4023521439004725
hotel de ville,Hôtel de Ville,48.85745183174312,2.3510084614060265
la courneuve 8 mai 1945,La Courneuve 8 Mai 1945,48.92078596906289,2.410598616469426
malakoff plateau de vanves,Malakoff - Plateau de Vanves,48.822583707737074,2.298464191958535
maison blanche,Maison Blanche,48.82218265855656,2.358551348202204
porte de champerret,Porte de Champerret,48.886006151507,2.293529966337255
tolbiac,Tolbiac,48.82642601087568,2.357245650758686
trocadero,Trocadéro,48.863065020217945,2.286243169328236
victor hugo,Victor Hugo,48.86979855646069,2.285335094686169
poissonniere,Poissonnière,48.877100185798646,2.3487755574768467
porte de charenton,Porte de Charenton,48.83273670175476,2.400310403025077
bobigny pablo picasso,Bobigny Pablo Picasso,48.90653600856719,2.4500061663133703
porte de choisy,Porte de Choisy,48.81976126757109,2.3640154621825227
porte de bagnolet,Porte de Bagnolet,48.86343374196473,2.4088324651439725
porte de montreuil,Porte de Montreuil,48.85298727790375,2.410741136126437
porte doree,Porte Dorée,48.83552220834931,2.4066571471351024
porte de saint ouen,Porte de Saint-Ouen,48.89767181948477,2.3298303344938858
porte de clignancourt,Porte de Clignancourt,48.89804145033781,2.3450784496454857
allee de la tour rendez vous,Allée de la Tour Rendez-Vous,48.897143819382286,2.506408247006797
gaston roulaud,Gaston Roulaud,48.91409326350574,2.431278002116335
hopital delafontaine,Hôpital Delafontaine,48.933586403729805,2.37108317162386
jean rostand,Jean Rostand,48.90781431666948,2.454357578777375
la ferme,La Ferme,48.90966636535197,2.437487802213591
montsouris,Montsouris,48.82150891739616,2.333339832857645
jean moulin,Jean Moulin,48.82471101880376,2.318829692620226
stade charlety,Stade Charléty,48.81950050990851,2.345803581204492
stade geo andre,Stade Géo André,48.9243751434303,2.4020734129969097
lacepede,Lacépède,48.95587687488742,2.3115263086926325
chemin des reniers,Chemin des Reniers,48.93460856766366,2.3214951981707097
parc des chanteraines,Parc des Chanteraines,48.93394363147803,2.3132570729552704
timbaud,Timbaud,48.93339059719431,2.300626211232597
charlebourg,Charlebourg,48.9076645839442,2.238309302290676
victor basch,Victor Basch,48.91404768156709,2.2295716132741976
marie de miribel,Marie de Miribel,48.85870401022034,2.409685685604103
montempoivre,Montempoivre,48.83986483182992,2.408874539222469
maryse bastie,Maryse Bastié,48.82435490190002,2.3776615306957374
hopital robert debre,Hôpital Robert Debré,48.87945550325808,2.4012336448556546
butte du chapeau rouge,Butte du Chapeau Rouge,48.88501678919352,2.3967512888038973
ella fitzgerald,Ella Fitzgerald,48.89742996177998,2.394968407167715
les cholettes,Les Cholettes,48.9774930899753,2.372242923708274
suzanne valadon,Suzanne Valadon,48.95912109831728,2.3587425044757624
guynemer,Guynemer,48.94820812758012,2.35746152627313
lamartine,Lamartine,48.78310755044937,2.367157833315664
l'onde,L’Onde,48.78198667250012,2.180493750928926
vauban,Vauban,48.807169846835606,2.294091244318829
division leclerc,Division Leclerc,48.79446888451293,2.272650344658386
soleil levant,Soleil Levant,48.7903330019282,2.2633891660151555
meudon la foret,Meudon-la-Forêt,48.78353933276511,2.225280295281189
jean vilar,Jean Vilar,48.95272632989772,2.3434612795268257
diane arbus,Diane Arbus,48.89832910439932,2.351712071721624
porte d'asnieres,Porte d'Asnières,48.88973995110524,2.3032760496929354
clichy montfermeil,Clichy - Montfermeil,48.90457306647732,2.555014267014263
notre dame des anges,Notre-Dame-des-Anges,48.90091968065114,2.556069026584472
porte de pantin,Porte de Pantin,48.889007649506944,2.3956810747116024
beethoven concorde,Beethoven - Concorde,48.798822652969584,2.3815109717362284
les saules,Les Saules,48.746942402605214,2.4163208947708155
petit noisy,Petit Noisy,48.90041730406598,2.4654604813583547
les beatus,Les Béatus,48.9515983836568,2.3207554481259183
georges millandy,Georges Millandy,48.783500975704136,2.2309835589388727
dewoitine,Dewoitine,48.78362462215808,2.2144335020501766
porte d'issy,Porte d'Issy,48.83169659310701,2.281470444083868
pablo neruda,Pablo Neruda,48.956671846031206,2.34310923572538
stains la cerisaie,Stains La Cerisaie,48.95473074848043,2.3917951396342727
parc pr,Parc PR,49.00897846095018,2.54483189791712
terminal 1,Terminal 1,49.01340270477389,2.541951696822008
noisy le grand mont d'est,Noisy-le-Grand-Mont d'Est,48.8408443721592,2.549900487641346
bry sur marne,Bry-sur-Marne,48.84519309666404,2.525615908439546
dreux,Dreux,48.73117969370124,1.3704666816488706
gisors,Gisors,49.285389402250345,1.784906878325775
aulnay sous bois,Aulnay-sous-Bois,48.93195908636717,2.4971165154707387
chaville rive gauche,Chaville Rive Gauche,48.8051956691424,2.189278118558865
champagne sur seine,Champagne-sur-Seine,48.40728299408842,2.798922442550968
gazeran,Gazeran,48.62603636859391,1.773248849448224
la norville,La Norville,48.59111919975116,2.266213853170556
jouy,Jouy,48.51004672572785,1.5575946080058871
porte de clichy,Porte de Clichy,48.8946243340091,2.3142338462894254
avron,Avron,48.85190531895693,2.3979973148307456
creteil l'echat,Créteil–L’Échat,48.79668213499687,2.4494128051458075
eglise de pantin,Église de Pantin,48.89314998575984,2.412763044547627
campo formio,Campo Formio,48.8351525357408,2.3585662563494667
chateau d'eau,Château d'Eau,48.87262083992817,2.356153947450339
chatelet,Châtelet,48.856942736159496,2.348147481005499
guy moquet,Guy Môquet,48.892206827747096,2.3272198679191285
monceau,Monceau,48.88032518647405,2.308773835955807
place de clichy,Place de Clichy,48.88399982489613,2.32853013989038
stalingrad,Stalingrad,48.88428415025653,2.365821546282089
stalingrad,Stalingrad,48.88479825198408,2.36958085557783
rome,Rome,48.88233342370702,2.3218017310631685
grands boulevards,Grands Boulevards,48.87125654594185,2.34456106066273
balard,Balard,48.83629530154249,2.278330259866024
richelieu drouot,Richelieu-Drouot,48.87219090864884,2.338857159453805
basilique de saint denis,Basilique de Saint-Denis,48.93805733112318,2.360792492279713
mareil marly,Mareil-Marly,48.880991440750805,2.0791773946942684
fourqueux bel air,Fourqueux - Bel Air,48.89473714937683,2.0699743067802774
lisiere pereire,Lisière Pereire,48.90320461545236,2.0729714565656736
jardin parisien,Jardin Parisien,48.79007388694618,2.252720457075606
massy,Massy-Palaiseau,48.724729144431606,2.257515004584038
chilly mazarin,Chilly-Mazarin,48.70068080405286,2.307841187260169
petit vaux,Petit-Vaux,48.67638132516642,2.333249458612988
parc du chateau,Parc du Château,48.66789284567248,2.3547385741448146
square sainte odile,Square Sainte-Odile,48.88737589044046,2.296965185039929
thiais orly,Thiais - Orly,48.746978700693774,2.372839696785623
